Chromium project contributions from 01/January/2016 to 31/December/2016

Overall
Contributor,January 2016
chromium.org,76316
google.com,6831
opera.com,1478
intel.com,1353
samsung.com,635
gmail.com,615
ca.ibm.com,340
alum.mit.edu,302
igalia.com,254
yandex-team.ru,247

Chromium
Contributor,January 2016
chromium.org,66755
google.com,2479
opera.com,1468
intel.com,792
samsung.com,632
gmail.com,438
yandex-team.ru,247
igalia.com,205
martijnc.be,99
amazon.com,65
robwu.nl,60
yoav.ws,55
nvidia.com,51
cisco.com,41
imgtec.com,27
navercorp.com,26
tencent.com,22
linaro.org,12
arm.com,11
ngg.hu,10
xiaomi.com,8
googlemail.com,8
nottheoilrig.com,7
webrtc.org,4
rnc-ag.de,4
lge.com,4
foxitsoftware.com,3
ca.ibm.com,3

Skia
Contributor,January 2016
google.com,4164
chromium.org,1425
nvidia.com,80
skia.org,45
mozilla.com,17
gmail.com,12
intel.com,10
arm.com,5
opera.com,4

V8
Contributor,January 2016
chromium.org,7524
ca.ibm.com,337
intel.com,278
imgtec.com,207
google.com,185
us.ibm.com,140
arm.com,97
gmail.com,79
igalia.com,49
mikepennisi.com,8
opera.com,6
strongloop.com,5
indutny.com,4
uk.ibm.com,3
samsung.com,3

WebGL
Contributor,January 2016
chromium.org,612
alum.mit.edu,302
intel.com,273
gmail.com,86
nvidia.com,22
wallez.net,17
mozilla.com,6
callow.im,5
hotmail.ca,3
greggman.com,3
google.com,3

WebGPU
Contributor,January 2016
,1
